Codice,Tipologia stazione,Provincia,Comune,Codice_GWB-PdG_2021-2027,Nome_GWB_2021-2027,XUTM-ETRS89,YUTM-ETRS89,Quota Piano Campagna (m),Profondità pozzo (m),Posizione filtri ,N tot filtri,Inizio filtri: da m,Fine filtri: a m
BOK3-00,Pozzo,BO,VALSAMOGGIA,IT080420ER-DQ2-CCS,Conoide Samoggia - confinato superiore,672484,4936180,37,30,Fondo foro,1,20,25
BOK5-00,Pozzo,BO,MEDICINA,IT080492ER-DQ2-CCS,Conoide Sillaro-Sellustra - confinato superiore,709366,4927310,28,28,,,,
BOK9-00,Pozzo,BO,MINERBIO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,696947,4942912,18,87,,2,75,87
FC01-00,Pozzo,FC,FORLÌ,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,745412,4902354,22,176,,2,116.4,166
FC02-00,Pozzo,FC,FORLÌ,IT080540ER-DQ2-CCS,Conoide Ronco-Montone - confinato superiore,737408,4900953,39.1,30,,,,
FC03-02,Pozzo,FC,FORLÌ,IT082540ER-DQ2-CCI,Conoide Ronco-Montone - confinato inferiore,742205,4898227,41,44,Fondo foro,1,38,44
FC04-00,Pozzo,FC,FORLIMPOPOLI,IT080540ER-DQ2-CCS,Conoide Ronco-Montone - confinato superiore,749779,4897241,31,41.9,,,,
FC06-02,Pozzo,FC,CESENA,IT080550ER-DQ2-CCS,Conoide Savio - confinato superiore,757142,4894783,33.5,131.5,,4,52.5,122.4
FC06-03,Pozzo,FC,CESENA,IT080550ER-DQ2-CCS,Conoide Savio - confinato superiore,757656,4894146,35,71,Fondo foro,1,60.27,66.07
FC07-02,Pozzo,FC,GAMBETTOLA,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,769221,4889764,20.7,40,Fondo foro,1,36,40
FC12-00,Pozzo,FC,FORLÌ,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,745334,4908329,17.03,200,Fondo foro,1,199,200
FC13-00,Pozzo,FC,FORLÌ,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,742537,4904150,23.46,150,Fondo foro,1,149,150
FC14-02,Pozzo,FC,FORLÌ,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,748563,4900097,24.5,170.3,Fondo foro,1,156.9,160.3
FC16-01,Pozzo,FC,SAVIGNANO SUL RUBICONE,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,775163,4896146,1,218,,2,90,218
FC18-00,Pozzo,FC,CESENATICO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,769089,4894534,11.2,107,,,,
FC19-00,Pozzo,FC,FORLÌ,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,741051,4909431,17,300,Fondo foro,1,278.2,282.6
FC19-02,Pozzo,FC,FORLÌ,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,739672,4906371,19.3,70,Fondo foro,1,65,70
FC19-03,Pozzo,FC,FORLÌ,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,741133,4907692,16,76,Fondo foro,1,73,76
FC20-00,Pozzo,FC,FORLÌ,IT082540ER-DQ2-CCI,Conoide Ronco-Montone - confinato inferiore,741466,4901290,29.7,108.5,Fondo foro,1,101,108.5
FC22-00,Pozzo,FC,FORLÌ,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,749384,4904116,19.7,200,,,,
FC25-00,Pozzo,FC,CESENA,IT080550ER-DQ2-CCS,Conoide Savio - confinato superiore,765677,4896373,12.4,88.9,Fondo foro,1,84,88
FC27-00,Pozzo,FC,CESENA,IT080550ER-DQ2-CCS,Conoide Savio - confinato superiore,759087,4897759,24.3,90,,,,
FC28-03,Pozzo,FC,CESENA,IT080270ER-DQ1-CL,Conoide Savio - libero,755996,4889685,51.6,23,,,,
FC41-00,Pozzo,FC,CESENA,IT080550ER-DQ2-CCS,Conoide Savio - confinato superiore,762976,4897161,14.5,30,,,,
FC43-00,Pozzo,FC,GATTEO,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,772727,4894282,6,182,Fondo foro,1,171,182
FC50-02,Pozzo,FC,FORLÌ,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,745193,4901314,22,162.12,,1,140.42,154.12
FC52-00,Pozzo,FC,FORLÌ,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,754245,4901885,16,256,Fondo foro,1,238,256
FC53-00,Pozzo,FC,FORLIMPOPOLI,IT082540ER-DQ2-CCI,Conoide Ronco-Montone - confinato inferiore,749482,4897978,27,400,,4,25,345
FC56-00,Pozzo,FC,CESENA,IT080550ER-DQ2-CCS,Conoide Savio - confinato superiore,760890,4901578,12,89,,,,
FC57-03,Pozzo,FC,GAMBETTOLA,IT080565ER-DQ2-CCS,Conoide Pisciatello-Rubicone-Uso - confinato superiore,765900,4890320,32,50,Fondo foro,1,31.4,45.2
FC70-00,Pozzo,FC,SAN MAURO PASCOLI,IT080590ER-DQ2-CCS,Conoide Marecchia - confinato superiore,775377,4889943,15,40,,,,
FC71-00,Piezometro,FC,FORLÌ,IT082540ER-DQ2-CCI,Conoide Ronco-Montone - confinato inferiore,741252,4901195,30,141.5,Fondo foro,1,132.5,141.5
FC73-00,Piezometro,FC,FORLÌ,IT082540ER-DQ2-CCI,Conoide Ronco-Montone - confinato inferiore,744374,4897325,35,56,Fondo foro,1,38,50
FC77-00,Piezometro,FC,FORLÌ,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,751113,4901473,20,128,Fondo foro,1,120,128
FC79-01,Pozzo,FC,BERTINORO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,754406,4899487,27,70,,1,24,27
FC80-02,Pozzo,FC,CESENA,IT080550ER-DQ2-CCS,Conoide Savio - confinato superiore,757412,4895571,29,83,Fondo foro,1,76,78
FC80-03,Pozzo,FC,CESENA,IT080550ER-DQ2-CCS,Conoide Savio - confinato superiore,757312,4895953,28,70,Fondo foro,1,63,65
FC81-03,Pozzo,FC,CESENATICO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,770077,4900261,0.3,99,,,,
FC81-04,Pozzo,FC,CESENATICO,IT080610ER-DQ2-PACS-ITB,Pianura Alluvionale Appenninica - confinato superiore,772420,4898589,2.5,105,,,,
FC83-00,Pozzo,FC,FORLÌ,IT082540ER-DQ2-CCI,Conoide Ronco-Montone - confinato inferiore,744553,4898760,28,100,,2,57,85
FC83-01,Pozzo,FC,FORLÌ,IT082540ER-DQ2-CCI,Conoide Ronco-Montone - confinato inferiore,744603,4898725,27.9,90.6,,2,56.7,86.6
FC85-00,Pozzo,FC,FORLIMPOPOLI,IT080245ER-DQ1-CL,Conoide Ronco-Montone - libero,747556,4896538,23,22.65,,,,
FC86-00,Pozzo,FC,FORLÌ,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,738934,4903088,26,249.5,,3,205.4,242
FC89-00,Pozzo,FC,FORLÌ,IT080245ER-DQ1-CL,Conoide Ronco-Montone - libero,745925,4893453,47,10,,,,
FC90-00,Pozzo,FC,CESENA,IT080270ER-DQ1-CL,Conoide Savio - libero,757886,4893264,25,125,,1,63.5,72
FC93-00,Pozzo,FC,FORLÌ,IT082700ER-DQ2-PACI-ITB,Pianura Alluvionale - confinato inferiore,746304,4901831,22,132,Fondo foro,1,120,129
